id,company,website,hq_city,hq_country,ca_office_city,source_list,employees_total,employees_canada,funding,stage,healthcare_vertical,hostable_space,ca_marketing_contact,sales_motion,category_stake,runs_own_events,sponsors_health_events,trigger,needs_demo,status,note,last_enriched,evidence
dental-ai-6,SprintRay,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-7,Planmeca Canada,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-8,DEXIS / Envista,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-mfr-0,Align Technology Canada,,,unknown,,corporate-targets A5,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,yes,yes,,yes,new,Study-club native. Will ask for stage time; screen for it.,,
dental-mfr-1,Straumann Canada,,,unknown,,corporate-targets A5,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,yes,yes,,yes,new,Study-club native. Will ask for stage time; screen for it.,,
dental-mfr-2,Nobel Biocare,,,unknown,,corporate-targets A5,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,yes,yes,,yes,new,Study-club native. Will ask for stage time; screen for it.,,
dental-mfr-3,Dentsply Sirona Canada,,,unknown,,corporate-targets A5,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,yes,yes,,yes,new,Study-club native. Will ask for stage time; screen for it.,,
dental-mfr-4,Ivoclar,,,unknown,,corporate-targets A5,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,yes,yes,,yes,new,Study-club native. Will ask for stage time; screen for it.,,
dental-dist-0,Henry Schein Canada,,,Canada,,corporate-targets A6,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,no,new,"Will push for a booth. Sell the brief, not the room.",,
dental-dist-1,Patterson Dental Canada,,,Canada,,corporate-targets A6,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,no,new,"Will push for a booth. Sell the brief, not the room.",,
dental-dist-2,Sinclair Dental,,,Canada,,corporate-targets A6,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,no,new,"Will push for a booth. Sell the brief, not the room.",,
fin-scotia,Scotiabank Healthcare+,,,Canada,Toronto,corporate-targets A3,90000,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,yes,,no,new,Dedicated dentist and pharmacist programmes. The room is their acquisition target.,,https://www.scotiabank.com/ca/en/healthcare-plus/dentist-banking.html
fin-0,RBC Healthcare,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-1,BMO,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-2,TD,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-3,CIBC,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-4,MNP professional practice,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-5,Baker Tilly,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-6,CDSPI,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-7,Sun Life,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-8,Manulife,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
fin-9,Green Shield Canada,,,Canada,Toronto,cohost-targets A3,,,public,mature,yes,yes,unknown,sales-led,orthogonal,unknown,unknown,,no,new,"Fast signature, weakest thesis fit. Cap at one per room.",,
pharm-mapflow,MAPflow,,,Canada,,corporate-targets B1,,,unknown,unknown,yes,unknown,"Dr. Nardine Nakhla, Co-founder and CEO | Andrea Edginton, COO and Hallman Director | Michael Sevestre, Co-founder and CTO",hybrid,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,qualified,"2,200+ pharmacies. Their product IS the 1 Jul change.",2026-08-05,https://mapflow.ca/
pharm-medessist,MedEssist,,,Canada,Toronto,corporate-targets B1,,,venture,seed,yes,unknown,"Joella Almeida, CEO and Co-founder | Michael Do, CTO and Co-founder",hybrid,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,qualified,"Toronto, pharmacist-founded, 100 Ontario pharmacies onboarded. One hop to founder.",2026-08-05,https://www.medessist.com/|https://betakit.com/medessists-access-to-care-program-has-turned-100-ontario-pharmacies-into-mini-clinics/
pharm-telus,"TELUS Health (Kroll, PharmaClik Rx)",,,Canada,Toronto,corporate-targets B1,,,public,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,https://www.telus.com/en/health/health-professionals/pharmacies/add-ons/minor-ailments
banner-0,Guardian / IDA / Remedy'sRx,,,Canada,Ontario,corporate-targets B2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,852 Ontario locations. McKesson banner network.,,https://www.guardian-ida-remedysrx.ca/en/who-we-are/who-we-are
banner-1,Pharmasave,,,Canada,Ontario,corporate-targets B2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,486 Ontario locations.,,https://www.scrapehero.com/location-reports/10-largest-pharmacies-in-canada/
banner-2,Whole Health Pharmacy Partners,,,Canada,Ontario,corporate-targets B2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Ontario, 200+. Nimblest banner.",,https://wholehealthpharmacy.ca/
banner-3,Shoppers Drug Mart / Loblaw,,,Canada,Ontario,corporate-targets B2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,Largest and slowest by an order of magnitude.,,
poct-0,Abbott (ID NOW),,,unknown,Mississauga,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
poct-1,Roche Diagnostics Canada,,,unknown,,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
poct-2,bioMerieux,,,unknown,,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
poct-3,Cepheid,,,unknown,,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
poct-4,QuidelOrtho,,,unknown,,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
poct-5,BD,,,unknown,,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
poct-6,Siemens Healthineers Canada,,,unknown,,corporate-targets B3,50000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,yes,new,,,
otc-0,Haleon Canada,,,unknown,,corporate-targets B4,20000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,MLR exists but lighter than prescription.,,
otc-1,Kenvue,,,unknown,,corporate-targets B4,20000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,MLR exists but lighter than prescription.,,
otc-2,Bayer Consumer Health,,,unknown,,corporate-targets B4,20000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,MLR exists but lighter than prescription.,,
otc-3,Reckitt,,,unknown,,corporate-targets B4,20000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,MLR exists but lighter than prescription.,,
otc-4,Jamieson,,,unknown,,corporate-targets B4,20000,,unknown,mature,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,MLR exists but lighter than prescription.,,
vax-0,GSK Canada,,,unknown,,corporate-targets B5,50000,,unknown,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Largest cheques, slowest path. PAAB and full MLR. Sell the brief, not a room.",,
vax-1,Pfizer Canada,,,unknown,,corporate-targets B5,50000,,unknown,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Largest cheques, slowest path. PAAB and full MLR. Sell the brief, not a room.",,
vax-2,Merck Canada,,,unknown,,corporate-targets B5,50000,,unknown,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Largest cheques, slowest path. PAAB and full MLR. Sell the brief, not a room.",,
vax-3,Moderna Canada,,,unknown,,corporate-targets B5,50000,,unknown,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Largest cheques, slowest path. PAAB and full MLR. Sell the brief, not a room.",,
vax-4,Sanofi Canada,,,unknown,,corporate-targets B5,50000,,unknown,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Largest cheques, slowest path. PAAB and full MLR. Sell the brief, not a room.",,
vax-5,AstraZeneca Canada,,,unknown,,corporate-targets B5,50000,,unknown,mature,yes,yes,unknown,sales-led,conflicted,unknown,unknown,Ontario minor ailments 19 to 28 on 1 Jul 2026; 6 new funded vaccines,no,new,"Largest cheques, slowest path. PAAB and full MLR. Sell the brief, not a room.",,
rehab-0,Jane App,,,Canada,North Vancouver,corporate-targets C,,,venture,unknown,yes,unknown,"Chris Gardner, Head of Partnerships | Trevor Johnston, Co-founder and Co-CEO",plg,conflicted,unknown,unknown,,yes,qualified,"PLG. Strong meetup fit, poor convening fit.",2026-08-05,https://jane.app/
rehab-1,Embodia,,,Canada,Toronto,corporate-targets C,,,venture,unknown,yes,unknown,unknown,plg,conflicted,unknown,unknown,,yes,new,"PLG. Strong meetup fit, poor convening fit.",,https://embodiaapp.com/h/cpa-members/
rehab-2,Noterro,,,Canada,,corporate-targets C,,,venture,unknown,yes,unknown,unknown,plg,conflicted,unknown,unknown,,yes,new,"PLG. Strong meetup fit, poor convening fit.",,
rehab-3,Owl Practice,,,Canada,Toronto,corporate-targets C,,,venture,unknown,yes,unknown,unknown,plg,conflicted,unknown,unknown,,yes,new,"PLG. Strong meetup fit, poor convening fit.",,
rehab-4,Practice Perfect,,,Canada,,corporate-targets C,,,venture,unknown,yes,unknown,unknown,plg,conflicted,unknown,unknown,,yes,new,"PLG. Strong meetup fit, poor convening fit.",,
prof-0,Deloitte Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,"Deloitte Greenhouse, Toronto. Purpose-built for convening.",,https://www.deloitte.com/ca/en/services/consulting/services/deloitte-greenhouse.html
prof-1,EY Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,"EY wavespace, first in Canada, EY Tower.",,https://www.newswire.ca/news-releases/new-ey-tower-brings-firms-purpose-to-life-631088003.html
prof-2,PwC Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Convening is already their marketing model. Watch: they will want to fill the room with their clients.,,
prof-3,KPMG Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Convening is already their marketing model. Watch: they will want to fill the room with their clients.,,
prof-4,Accenture Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Convening is already their marketing model. Watch: they will want to fill the room with their clients.,,
prof-5,BDO Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Convening is already their marketing model. Watch: they will want to fill the room with their clients.,,
prof-6,Grant Thornton Canada,,,Canada,Toronto,cohost-targets A1,10000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Convening is already their marketing model. Watch: they will want to fill the room with their clients.,,
law-0,Osler,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-1,Torys,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-2,Fasken,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-3,McCarthy Tetrault,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-4,Blakes,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-5,Gowling WLG,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-6,Norton Rose Fulbright,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
law-7,Borden Ladner Gervais,,,Canada,Toronto,cohost-targets A1,1000,,partnership,mature,yes,yes,unknown,sales-led,orthogonal,yes,unknown,,no,new,Life sciences practice. Service provider cap applies to their seats.,,
plat-microsoft,Microsoft Canada,,,United States,Mississauga and Toronto,cohost-targets A2,200000,,public,mature,yes,yes,"Peter Jones, Healthcare Industry Lead",sales-led,orthogonal,yes,unknown,,no,qualified,Meadowvale Blvd plus CIBC Square. Customer-facing tech displays incl. telemedicine.,2026-08-05,https://www.microsoft.com/en-ca/about/facts|https://canadianbusiness.com/design/microsoft-canada-headquarters-toronto-cibc-square/
plat-0,AWS Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-1,Google Cloud Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-2,Salesforce Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-3,ServiceNow Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-4,SAP Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-5,IBM Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-6,Cisco Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-7,Dell Technologies Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-8,Nvidia Canada,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-9,Snowflake,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-10,Databricks,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-11,Okta,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-12,Zoom,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-13,Docusign,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-14,Atlassian,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-15,Figma,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-16,Notion,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-17,Twilio,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-18,Thomson Reuters,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
plat-19,OpenText,,,unknown,Toronto,cohost-targets A2,5000,,public,mature,unknown,unknown,unknown,sales-led,orthogonal,unknown,unknown,,no,new,Verify a Canada-based healthcare industry lead. A hire in the last 12 months is the strongest trigger available.,,
scaleup-0,PointClickCare,,,Canada,Mississauga,cohost-targets A4,2000,,venture,series-c-plus,yes,unknown,"Annie McBride, Chief Marketing Officer",sales-led,conflicted,unknown,unknown,,yes,qualified,One of Canada's largest homegrown tech companies. Mississauga.,2026-08-05,https://www.investmississauga.ca/industries/life-sciences/medtech/
scaleup-1,League,,,Canada,Toronto,cohost-targets A4,500,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
scaleup-2,Maple,,,Canada,Toronto,cohost-targets A4,300,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
scaleup-3,Think Research,,,Canada,Toronto,cohost-targets A4,400,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
scaleup-4,Kii Health,,,Canada,Toronto,cohost-targets A4,300,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Formerly CloudMD.,,https://builtintoronto.com/companies/type/healthtech-companies
scaleup-5,Greenspace Health,,,Canada,Toronto,cohost-targets A4,100,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Toronto and Kelowna.,,https://builtintoronto.com/companies/type/healthtech-companies
scaleup-6,AlayaCare,,,Canada,Montreal,cohost-targets A4,600,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
scaleup-7,Dialogue Health,,,Canada,Montreal,cohost-targets A4,700,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
scaleup-8,WELL Health,,,Canada,Vancouver,cohost-targets A4,1000,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
scaleup-9,Cloud DX,,,Canada,Kitchener,cohost-targets A4,80,,venture,series-c-plus,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Founder signs in one call. Topic selection does real work.,,
