id,company,tier,best,score,city,titles,google,linkedin
prof-3,KPMG Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22KPMG%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22KPMG%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-3,McCarthy Tetrault,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22McCarthy%20Tetrault%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22McCarthy%20Tetrault%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-6,Norton Rose Fulbright,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Norton%20Rose%20Fulbright%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Norton%20Rose%20Fulbright%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-0,Osler,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Osler%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Osler%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
rehab-3,Owl Practice,A,Meetup,85,Toronto,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Owl%20Practice%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Owl%20Practice%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
prof-2,PwC Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22PwC%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22PwC%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-1,Torys,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Torys%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Torys%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-12,Baylis Medical Technologies,A,Meetup,80,Mississauga,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Baylis%20Medical%20Technologies%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Baylis%20Medical%20Technologies%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-9,Cloud DX,A,Meetup,80,Kitchener,Founder · CEO · Head of Partnerships · Head of Growth · Demand Generation · Growth Marketing,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cloud%20DX%22%20%28%22Founder%22%20OR%20%22CEO%22%20OR%20%22Head%20of%20Partnerships%22%20OR%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Cloud%20DX%22%20%22Founder%22%20OR%20%22CEO%22%20OR%20%22Head%20of%20Partnerships%22&origin=GLOBAL_SEARCH_HEADER
scaleup-5,Greenspace Health,A,Meetup,80,Toronto,Founder · CEO · Head of Partnerships · Head of Growth · Demand Generation · Growth Marketing,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Greenspace%20Health%22%20%28%22Founder%22%20OR%20%22CEO%22%20OR%20%22Head%20of%20Partnerships%22%20OR%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Greenspace%20Health%22%20%22Founder%22%20OR%20%22CEO%22%20OR%20%22Head%20of%20Partnerships%22&origin=GLOBAL_SEARCH_HEADER
scaleup-4,Kii Health,A,Meetup,80,Toronto,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Kii%20Health%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Kii%20Health%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-2,Maple,A,Meetup,80,Toronto,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Maple%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Maple%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-11,Myant,A,Meetup,80,Mississauga,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Myant%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Myant%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-10,Novari Health,A,Meetup,80,Kingston,Founder · CEO · Head of Partnerships · Head of Growth · Demand Generation · Growth Marketing,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Novari%20Health%22%20%28%22Founder%22%20OR%20%22CEO%22%20OR%20%22Head%20of%20Partnerships%22%20OR%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Novari%20Health%22%20%22Founder%22%20OR%20%22CEO%22%20OR%20%22Head%20of%20Partnerships%22&origin=GLOBAL_SEARCH_HEADER
scaleup-3,Think Research,A,Meetup,80,Toronto,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Think%20Research%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Think%20Research%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
fin-scotia,Scotiabank Healthcare+,A,Dinner,75,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Scotiabank%20Healthcare%2B%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Scotiabank%20Healthcare%2B%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-6,AlayaCare,A,Meetup,70,Montreal,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22AlayaCare%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22AlayaCare%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
dental-mfr-0,Align Technology Canada,A,Dinner,70,no CA office,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Align%20Technology%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Align%20Technology%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
fin-1,BMO,A,Convening,70,Toronto,Healthcare Industry Lead · Head of Healthcare · Life Sciences · Field Marketing · Country Manager · General Manager · Strategic Partnerships,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22BMO%22%20%28%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22%20OR%20%22Field%20Marketing%22%20OR%20%22Country%20Manager%22%20OR%20%22General%20Manager%22%20OR%20%22Strategic%20Partnerships%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22BMO%22%20%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22&origin=GLOBAL_SEARCH_HEADER
fin-5,Baker Tilly,A,Convening,70,Toronto,Healthcare Industry Lead · Head of Healthcare · Life Sciences · Field Marketing · Country Manager · General Manager · Strategic Partnerships,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Baker%20Tilly%22%20%28%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22%20OR%20%22Field%20Marketing%22%20OR%20%22Country%20Manager%22%20OR%20%22General%20Manager%22%20OR%20%22Strategic%20Partnerships%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Baker%20Tilly%22%20%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22&origin=GLOBAL_SEARCH_HEADER
fin-6,CDSPI,A,Convening,70,Toronto,Healthcare Industry Lead · Head of Healthcare · Life Sciences · Field Marketing · Country Manager · General Manager · Strategic Partnerships,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22CDSPI%22%20%28%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22%20OR%20%22Field%20Marketing%22%20OR%20%22Country%20Manager%22%20OR%20%22General%20Manager%22%20OR%20%22Strategic%20Partnerships%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22CDSPI%22%20%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22&origin=GLOBAL_SEARCH_HEADER
fin-3,CIBC,A,Convening,70,Toronto,Healthcare Industry Lead · Head of Healthcare · Life Sciences · Field Marketing · Country Manager · General Manager · Strategic Partnerships,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22CIBC%22%20%28%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22%20OR%20%22Field%20Marketing%22%20OR%20%22Country%20Manager%22%20OR%20%22General%20Manager%22%20OR%20%22Strategic%20Partnerships%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22CIBC%22%20%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22&origin=GLOBAL_SEARCH_HEADER
dental-mfr-3,Dentsply Sirona Canada,A,Dinner,70,no CA office,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Dentsply%20Sirona%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Dentsply%20Sirona%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
scaleup-7,Dialogue Health,A,Meetup,70,Montreal,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Dialogue%20Health%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Dialogue%20Health%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
fin-9,Green Shield Canada,A,Convening,70,Toronto,Healthcare Industry Lead · Head of Healthcare · Life Sciences · Field Marketing · Country Manager · General Manager · Strategic Partnerships,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Green%20Shield%20Canada%22%20%28%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22%20OR%20%22Field%20Marketing%22%20OR%20%22Country%20Manager%22%20OR%20%22General%20Manager%22%20OR%20%22Strategic%20Partnerships%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Green%20Shield%20Canada%22%20%22Healthcare%20Industry%20Lead%22%20OR%20%22Head%20of%20Healthcare%22%20OR%20%22Life%20Sciences%22&origin=GLOBAL_SEARCH_HEADER
banner-0,Guardian / IDA / Remedy'sRx,A,Dinner,70,Ontario,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Guardian%20/%20IDA%20/%20Remedy%27sRx%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Guardian%20/%20IDA%20/%20Remedy%27sRx%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
dental-mfr-4,Ivoclar,A,Dinner,70,no CA office,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Ivoclar%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Ivoclar%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
